mOTU ID	Completeness (%)	Contamination (%)	GC (%)	N50 (bp)	Genome length (bp)	# of contigs	# of predicted genes	Longest contig	Coding density	Marker lineage in checkm	# markers in checkm	Strain heterogeneity	GTDB taxonomy	NCBI taxonomy	Metabolic pathways evaluated by KEGG-Decoder module (sulphate reduction bacteria within Deltaproteobacteria and Thermodesulfobacteria, and ammonia oxidation archaea within Thaumarchaeota)														
SD_DY_bin_116	93.18	3.232	66.5	37462	3303890	141	3134	124994	0.848661604	k__Bacteria (UID3187)	181	20	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__;g__;s__	d__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__;g__;s__	
SD_DY_bin_117	96.7	0.183	63.7	50389	3838740	162	3304	265120	0.897241645	k__Bacteria (UID2495)	147	0	d__Bacteria;p__Eisenbacteria;c__RBG-16-71-46;o__RBG-16-71-46;f__;g__;s__	d__Bacteria;p__Candidatus Eisenbacteria;c__;o__;f__;g__;s__	
SD_DY_bin_118	96.38	2.282	65	42122	4921360	238	4858	163033	0.864199633	c__Alphaproteobacteria (UID3305)	349	0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__SZUA-8;g__SZUA-8;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__;g__;s__	
SD_DY_bin_119	96.64	7.106	63	47741	3636072	203	3374	166269	0.891274298	c__Gammaproteobacteria (UID4202)	481	9.68	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__SZUA-36;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__;g__;s__	
SD_DY_bin_12	90.03	0.652	60.1	15885	2845775	282	2836	87632	0.902462029	c__Alphaproteobacteria (UID3305)	349	0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__SMXR01;g__;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__	
SD_DY_bin_120	62.57	0.862	62.3	3466	2450045	771	2670	16084	0.86501091	k__Bacteria (UID203)	104	100	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Cellvibrionaceae;g__Microbulbifer;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Microbulbiferaceae;g__Microbulbifer;s__	
SD_DY_bin_121	79.81	3.348	60.2	5609	3112369	673	3396	28429	0.906362061	c__Gammaproteobacteria (UID4267)	544	52.63	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__SZUA-117;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__	
SD_DY_bin_122	83.85	2.197	51	5038	3482330	788	3587	23052	0.909995673	k__Bacteria (UID2495)	147	0	d__Bacteria;p__KSB1;c__UBA2214;o__CR04bin15;f__;g__;s__	d__Bacteria;p__Calditrichaeota;c__Calditrichae;o__Calditrichales;f__;g__;s__	
SD_DY_bin_123	56.51	1.832	64	3298	1836226	592	2264	18840	0.910546629	c__Alphaproteobacteria (UID3305)	349	20	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Bin65;f__Bin65;g__;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__;s__	
SD_DY_bin_124	83.62	4.578	72.1	18063	3803552	366	3581	91850	0.907169989	k__Bacteria (UID2495)	147	20	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Longimicrobiales;f__UBA6960;g__;s__	d__Bacteria;p__Gemmatimonadetes;c__;o__;f__;g__;s__	
SD_DY_bin_125	69.71	2.437	48.1	4221	2144527	554	2266	16098	0.910205688	k__Bacteria (UID2569)	278	66.67	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__JAGOPY01;g__;s__	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	
SD_DY_bin_126	64.9	2.041	58	3857	3383768	957	3762	16506	0.84638493	k__Bacteria (UID3187)	188	100	d__Bacteria;p__UBA8248;c__UBA8248;o__JACPRG01;f__JACPRG01;g__;s__	d__Bacteria;p__Candidatus Tectomicrobia;c__;o__;f__;g__;s__	
SD_DY_bin_127	74.54	8.545	55.5	25640	4973352	371	4697	110293	0.886080338	k__Bacteria (UID1452)	163	8.33	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA4823;g__Kmv39;s__	d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__;g__;s__	
SD_DY_bin_128	93.4	2.747	70.6	29397	3427713	181	3312	134780	0.926602956	k__Bacteria (UID2495)	147	33.33	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__SZUA-544;s__	d__Bacteria;p__Gemmatimonadetes;c__;o__;f__;g__;s__	
SD_DY_bin_129	88.39	6.666	71.1	7300	4115960	767	4456	28660	0.879435873	c__Alphaproteobacteria (UID3305)	349	13.04	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__J153;g__;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__	
SD_DY_bin_13	70.78	1.68	42.5	5531	1584312	340	1759	26160	0.892380763	k__Bacteria (UID3187)	190	50	d__Bacteria;p__Desulfobacterota_D;c__UBA1144;o__RKRQ01;f__;g__;s__	d__Bacteria;p__Candidatus Dadabacteria;c__;o__;f__;g__;s__	
SD_DY_bin_130	68.26	0	68.8	6757	3714476	719	3591	27121	0.900493416	k__Bacteria (UID203)	104	0	d__Bacteria;p__Acidobacteriota;c__Mor1;o__Gp22-AA2;f__Gp22-AA2;g__;s__	d__Bacteria;p__Acidobacteria;c__;o__;f__;g__;s__	
SD_DY_bin_131	75.87	4.988	47.3	7817	2498616	396	2577	28384	0.894479677	c__Gammaproteobacteria (UID4267)	544	26.92	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA4486;f__UBA4486;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__	
SD_DY_bin_132	63.79	3.636	55.2	3379	2243571	683	2606	21598	0.892234704	k__Bacteria (UID1452)	163	0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__E44-bin32;g__E44-bin32;s__	d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__;g__;s__	
SD_DY_bin_133	74.43	1.995	47.8	3716	1598644	485	1955	13050	0.911697795	c__Gammaproteobacteria (UID4267)	542	75	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Methylophagaceae;g__Methylophaga;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Piscirickettsiaceae;g__Methylophaga;s__	
SD_DY_bin_134	55.33	1.304	62.3	2983	2057446	731	2533	9472	0.88078142	c__Alphaproteobacteria (UID3305)	349	0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA6615;f__UBA6615;g__;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__	
SD_DY_bin_135	73.13	0.99	63.6	6585	2863767	589	3225	32273	0.87943401	k__Bacteria (UID1452)	151	100	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__DSTF01;f__RBG-16-68-14;g__;s__	d__Bacteria;p__Chloroflexi;c__;o__;f__;g__;s__	
SD_DY_bin_136	91.61	1.666	54.5	12888	1793126	219	1930	67255	0.914219846	c__Alphaproteobacteria (UID3305)	349	62.5	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__SMXR01;g__SMXR01;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__	
SD_DY_bin_137	71.55	3.448	68.8	17353	3649559	271	3428	76746	0.900792344	k__Bacteria (UID203)	104	0	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Longimicrobiales;f__RSA9;g__;s__	d__Bacteria;p__Gemmatimonadetes;c__;o__;f__;g__;s__	
SD_DY_bin_138	67.02	3.181	62.8	5082	2560270	583	2805	19113	0.888469068	k__Bacteria (UID1452)	163	25	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__E44-bin32;g__;s__	d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__;g__;s__	
SD_DY_bin_139	96.43	4.487	70.2	17493	5081054	432	4464	78842	0.92225536	k__Bacteria (UID3187)	188	14.29	d__Bacteria;p__Acidobacteriota;c__Mor1;o__Mor1;f__Mor1;g__;s__	d__Bacteria;p__Acidobacteria;c__;o__;f__;g__;s__	
SD_DY_bin_14	86.01	2.391	64.9	7673	3176230	496	3356	30225	0.871174071	c__Alphaproteobacteria (UID3305)	349	16.67	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA6615;f__UBA6615;g__;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__	
SD_DY_bin_140	69.39	5.636	61.8	3662	2733794	840	3229	13458	0.87649373	f__Rhodobacteraceae (UID3356)	615	20	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__	
SD_DY_bin_141	74.77	7.733	70.1	5123	2727766	639	3117	23939	0.89234636	c__Alphaproteobacteria (UID3337)	388	34.38	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Limibaculum;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Limibaculum;s__	
SD_DY_bin_142	96.63	1.098	47.3	89255	6401519	132	5233	411899	0.850386231	k__Bacteria (UID2495)	147	0	d__Bacteria;p__JdFR-76;c__JdFR-76;o__JdFR-76;f__DREG01;g__;s__	d__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__	
SD_DY_bin_143	97.58	2.097	58.5	41723	4186837	251	3949	128146	0.883384578	c__Gammaproteobacteria (UID4444)	507	90	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Marinobacter;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Marinobacter;s__	
SD_DY_bin_144	56.22	2.096	57.1	2725	3159516	1192	3824	10657	0.848824194	c__Deltaproteobacteria (UID3216)	247	0	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968;g__;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__;f__;g__;s__	
SD_DY_bin_145	83.66	1.304	60.4	10271	2637844	325	2713	44905	0.897193146	c__Alphaproteobacteria (UID3305)	349	33.33	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__SMXR01;g__;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__	
SD_DY_bin_146	65.28	0	64.2	9021	2927230	397	2930	43697	0.917828462	k__Bacteria (UID203)	104	0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__SZUA-38;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__;g__;s__	
SD_DY_bin_147	50.22	8.539	62.5	2429	2039961	833	2608	16658	0.913026983	c__Gammaproteobacteria (UID4267)	544	8.77	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__Altererythrobacter;s__	
SD_DY_bin_148	85.33	2.564	72	9618	3442168	447	3286	48882	0.922731273	k__Bacteria (UID3187)	188	0	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__JACTMI01;s__	d__Bacteria;p__Acidobacteria;c__;o__;f__;g__;s__	
SD_DY_bin_149	89.04	2.272	73.3	18236	6006111	510	4952	78537	0.877696303	k__Bacteria (UID2565)	143	0	d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA2386;f__UBA2386;g__;s__	d__Bacteria;p__Planctomycetes;c__;o__;f__;g__;s__	
SD_DY_bin_15	51.07	2.185	55.7	4216	2327868	615	2370	23999	0.881094194	k__Bacteria (UID2570)	274	40	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__;s__	d__Bacteria;p__Balneolaeota;c__Balneolia;o__Balneolales;f__Balneolaceae;g__;s__	
SD_DY_bin_150	92.1	5.818	63.3	12762	2845850	303	2918	53125	0.859627301	k__Bacteria (UID3187)	181	50	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__;g__;s__	d__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__;g__;s__	
SD_DY_bin_151	52.27	5.34	60.2	2608	1370895	538	1639	9705	0.887665718	c__Deltaproteobacteria (UID3216)	247	10	d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Desulfuromonadales;f__SZUA-401;g__;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Desulfuromonadaceae;g__;s__	Sulphate reduction
SD_DY_bin_152	93.22	0.645	52.1	12477	2868178	330	2634	65925	0.891052057	c__Deltaproteobacteria (UID3216)	247	0	d__Bacteria;p__UBA10199;c__UBA10199;o__DSSB01;f__DSSB01;g__;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__;f__;g__;s__	Sulphate reduction
SD_DY_bin_153	64.91	1.754	70.4	6850	5997031	1166	6181	31750	0.930406707	k__Bacteria (UID203)	103	0	d__Bacteria;p__Myxococcota;c__Polyangia;o__Haliangiales;f__J016;g__;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__;f__;g__;s__	Sulphate reduction
SD_DY_bin_154	91.02	8.547	66.8	7060	3238827	624	3504	38420	0.885910618	k__Bacteria (UID1453)	171	54.55	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__UBA5794;g__;s__	d__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__;f__;g__;s__	
SD_DY_bin_155	62.83	3.508	65.1	3390	3678389	1203	3886	11926	0.893703708	k__Bacteria (UID203)	103	50	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__;s__	d__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__;g__;s__	
SD_DY_bin_156	62.94	6.634	33.4	6110	957651	201	1330	28363	0.888035337	k__Archaea (UID2)	145	12.5	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__CSP1-1;s__	d__Archaea;p__;c__;o__;f__;g__;s__	
SD_DY_bin_157	81.02	3.291	64.3	26636	3905485	262	3638	120177	0.902454755	c__Gammaproteobacteria (UID4267)	544	25	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA6522;f__UBA6522;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__	
SD_DY_bin_158	90.8	3.096	55.5	22894	3588483	262	3183	95091	0.871074947	k__Bacteria (UID2570)	274	22.22	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__;s__	d__Bacteria;p__Balneolaeota;c__Balneolia;o__Balneolales;f__Balneolaceae;g__;s__	
SD_DY_bin_159	85.69	1.098	65.1	6422	3413316	631	3328	30193	0.912008575	k__Bacteria (UID2495)	147	0	d__Bacteria;p__Eisenbacteria;c__RBG-16-71-46;o__JABDJR01;f__;g__;s__	d__Bacteria;p__Candidatus Eisenbacteria;c__;o__;f__;g__;s__	
SD_DY_bin_16	64.35	0	70.7	16669	3988620	320	3781	60130	0.909919061	k__Bacteria (UID203)	103	0	d__Bacteria;p__Myxococcota_A;c__UBA9160;o__UBA9160;f__SMWR01;g__SMWR01;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__;f__;g__;s__	Sulphate reduction
SD_DY_bin_160	65.15	1.564	48.9	4327	1268365	322	1538	15550	0.905609816	c__Gammaproteobacteria (UID4267)	544	14.29	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA4486;f__UBA4486;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__	
SD_DY_bin_161	83.59	8.92	69.1	6430	4544910	922	4303	48777	0.900446775	k__Bacteria (UID3187)	188	47.06	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__;s__	d__Bacteria;p__Acidobacteria;c__;o__;f__;g__;s__	
SD_DY_bin_162	74.19	0.495	63.5	6365	1988285	378	2278	28311	0.906418198	k__Bacteria (UID1452)	151	100	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__DSTF01;f__RBG-16-68-14;g__SZUA-185;s__	d__Bacteria;p__Chloroflexi;c__;o__;f__;g__;s__	
SD_DY_bin_163	62.09	1.584	63.8	3187	1692451	570	1989	9435	0.891327553	c__Gammaproteobacteria (UID4267)	544	14.29	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA4486;f__UBA4486;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__	
SD_DY_bin_164	82.18	3.385	51	12168	3105164	337	2980	46236	0.887259117	c__Gammaproteobacteria (UID4267)	544	43.75	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA4486;f__UBA4486;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__	
SD_DY_bin_165	55.03	1.463	46.4	2836	1590955	579	1814	10552	0.896396059	s__algicola (UID2846)	571	57.14	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Robertkochia;s__	d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Robertkochia;s__	
SD_DY_bin_166	64.72	3.637	48	3487	2846887	863	3099	12183	0.842701058	c__Deltaproteobacteria (UID3217)	280	77.78	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulfopila_A;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae;g__Desulfopila;s__	Sulphate reduction
SD_DY_bin_167	59.28	3.115	70.2	6425	2405543	456	2706	27016	0.866816389	c__Alphaproteobacteria (UID3305)	349	23.08	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__J153;g__;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__	
SD_DY_bin_168	79.03	0.909	49.8	15464	2571993	235	2592	68864	0.851319745	k__Bacteria (UID3187)	181	0	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__UBA8639;g__;s__	d__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__;g__;s__	
SD_DY_bin_169	55.26	0	73.3	8922	2530016	352	2292	24695	0.906456996	k__Bacteria (UID203)	103	0	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__JABDLI01;s__	d__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__;g__;s__	
SD_DY_bin_17	91.31	3.048	65	12017	3884457	482	3878	74526	0.870725935	p__Proteobacteria (UID3882)	261	33.33	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__JAANXG01;g__JAANXG01;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__	
SD_DY_bin_170	68.06	3.636	57.7	6527	6861596	1208	6309	31124	0.848317382	k__Bacteria (UID1452)	163	40	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__4572-78;f__J111;g__;s__	d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__;f__;g__;s__	
SD_DY_bin_171	55.79	0	66.7	4020	2733822	762	2834	18059	0.90645248	k__Bacteria (UID203)	104	0	d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__;f__;g__;s__	d__Bacteria;p__;c__;o__;f__;g__;s__	
SD_DY_bin_172	97.49	3.607	65	29851	4915066	329	4611	108150	0.850591778	p__Proteobacteria (UID3882)	261	23.08	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__JAANXG01;g__JAANXG01;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__	
SD_DY_bin_173	84.66	2.198	43.5	6129	3184953	633	3251	23229	0.867543634	c__Gammaproteobacteria (UID4444)	507	45.45	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__JADFAD01;g__JADFAD01;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae;g__;s__	
SD_DY_bin_174	80.63	2.173	67.2	8145	3259398	471	3405	26910	0.875692264	c__Alphaproteobacteria (UID3305)	349	20	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__J153;g__;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__	
SD_DY_bin_175	90.61	1.457	52.6	12995	2018530	221	2186	92820	0.899541583	c__Gammaproteobacteria (UID4267)	544	62.5	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA4486;f__UBA4486;g__;s__	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__	
SD_DY_bin_176	75.72	2.234	65.2	4082	2225485	611	2584	28214	0.890800524	c__Alphaproteobacteria (UID3305)	349	50	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__CECT-8803;g__Limibacillus;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhodovibrionaceae;g__Limibacillus;s__	
SD_DY_bin_177	63.45	1.266	67	4068	2421107	661	2892	20019	0.894789991	c__Alphaproteobacteria (UID3337)	388	20	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Halovulum;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__	
SD_DY_bin_178	96.15	2.184	61.9	80501	6090241	156	4848	315100	0.870331298	k__Bacteria (UID3187)	188	25	d__Bacteria;p__Acidobacteriota;c__UBA6911;o__RPQK01;f__;g__;s__	d__Bacteria;p__Acidobacteria;c__;o__;f__;g__;s__	
SD_DY_bin_179	88.3	3.636	61.9	22723	2908258	256	2850	88881	0.906335955	k__Bacteria (UID1452)	163	25	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__E44-bin32;g__;s__	d__Bacteria;p__Chloroflexi;c__;o__;f__;g__;s__	
SD_DY_bin_18	61.2	8.62	72.6	3265	3375428	1100	3661	22078	0.917096465	k__Bacteria (UID203)	104	57.14	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__;s__	d__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__;g__;s__	
SD_DY_bin_180	90.44	7.668	70.8	5801	5356563	1175	4943	41081	0.887328948	k__Bacteria (UID3187)	188	66.67	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__;s__	d__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__;g__;s__	
SD_DY_bin_181	55.2	5.434	71.2	3227	1930893	646	2387	15687	0.889226226	c__Alphaproteobacteria (UID3305)	349	13.33	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__GCA-2731375;f__;g__;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__;s__	
SD_DY_bin_182	77.99	0.983	39.3	4682	2479329	618	2736	17958	0.877761889	f__Moraxellaceae (UID4680)	689	0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter nosocomialis	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter nosocomialis	
SD_DY_bin_183	93.3	3.134	40.8	8907	3843724	579	3873	37352	0.915674745	o__Cytophagales (UID2936)	454	28.57	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__;s__	d__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cyclobacteriaceae;g__;s__	
SD_DY_bin_184	66.32	2.15	75	4425	3237627	854	3546	15950	0.915973371	c__Deltaproteobacteria (UID3216)	247	0	d__Bacteria;p__Myxococcota_A;c__UBA9160;o__UBA9160;f__PR03;g__;s__	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__;f__;g__;s__	
SD_DY_bin_186	87.97	8.363	52.9	17219	5892125	551	5366	72752	0.885140559	k__Bacteria (UID1452)	163	12.5	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Promineofilales;f__Promineofilaceae;g__UBA11865;s__	d__Bacteria;p__Chloroflexi;c__;o__;f__;g__;s__	
SD_DY_bin_187	78.95	3.537	52	14601	2421135	225	2444	70648	0.887273679	k__Bacteria (UID3187)	188	12.5	d__Bacteria;p__Nitrospinota;c__Nitrospinia;o__Nitrospinales;f__Nitrospinaceae;g__SZUA-226;s__	d__Bacteria;p__Nitrospirae;c__;o__;f__;g__;s__	
SD_DY_bin_188	60.48	0	55.5	2891	3497207	1251	4088	10285	0.889824646	k__Bacteria (UID1452)	163	0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__A4b;g__;s__	d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__;s__	
SD_DY_bin_189	88.36	1.648	71.4	15433	3844595	356	3410	81025	0.906420623	k__Bacteria (UID2495)	147	0	d__Bacteria;p__Eisenbacteria;c__RBG-16-71-46;o__RBG-16-71-46;f__RBG-16-71-46;g__RBG-16-71-46;s__	d__Bacteria;p__Candidatus Eisenbacteria;c__;o__;f__;g__;s__	
SD_DY_bin_19	84.48	7.272	68.2	5007	3169508	760	3627	27528	0.889442633	k__Bacteria (UID203)	104	14.63	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kiloniellales;f__J153;g__;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__	
SD_DY_bin_190	87.5	3.985	61.3	5605	3757150	806	4078	25618	0.862819219	c__Alphaproteobacteria (UID3305)	349	38.46	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__JACAEB01;f__JACAEB01;g__;s__	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__	
