#BGC_ID	Product	Class	Organism	Taxonomy
BGC	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
BGC0002552	NRPS-like.T1PKS	PKS-NRP_Hybrids	Amycolatopsis sp. CP2808	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,unclassified Amycolatopsis
BGC0002553	nucleoside	Others	Rathayibacter iranicus	Bacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Rathayibacter
BGC0002554	terpene	Terpene	Streptomyces exfoliatus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0002555	NRPS	NRPS	Acremonium sp.	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Hypocreales incertae sedis,Acremonium,unclassified Acremonium
BGC0002556	T2PKS	PKSother	Streptomyces sp.	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0002557	terpene	Terpene	Penicillium griseofulvum	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Penicillium
BGC0002558	T1PKS.PKS-like	PKSother	Streptomyces sp.	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0002559	T1PKS	PKSI	Streptomyces hygroscopicus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces violaceusniger group
BGC0002560	thioamitides.lanthipeptide-class-v	RiPPs	Streptomyces sp. NRRL S-4	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0002561	phenazine.T3PKS	Others	Streptomyces sp.	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0002563	NRPS	NRPS	Paraburkholderia caledonica	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia
BGC0002564	NRPS	NRPS	Paraburkholderia megapolitana	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia
BGC0002565	NRPS	NRPS	Burkholderia plantarii	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
BGC0002567		Others	Streptomyces sp. MA5143a	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0002568		Others	Streptomyces scabiei 87.22	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0002569	NRPS	NRPS	Burkholderia cenocepacia J2315	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cepacia complex
BGC0002570	NRPS.T1PKS	PKS-NRP_Hybrids	Pseudomonas syringae pv. tomato str. DC3000	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
BGC0002571		Others	Pseudomonas syringae pv. tomato str. DC3000	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
BGC0002572	NRPS	NRPS	Nostoc sp. UHCC 0702	Bacteria,Cyanobacteria,Nostocales,Nostocaceae,Nostoc
BGC0002573	other	Others	Streptomyces mozunensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0002575	lassopeptide	RiPPs	Streptococcus suis	Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
BGC0002578	butyrolactone	Others	Streptomyces venezuelae ATCC 10712	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0002579	RiPP-like	RiPPs	Carnobacterium maltaromaticum	Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium
BGC0002581	NRPS-like.NRPS	NRPS	Streptomyces sp.	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0002582	NRPS-like	NRPS	Streptomyces chrestomyceticus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0002584	LAP	RiPPs	Streptomyces sp. FXJ1.264	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0002585	RiPP-like	RiPPs	Streptococcus uberis	Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
BGC0002586	glycocin	RiPPs	Lactiplantibacillus plantarum	Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus
BGC0002587	T1PKS	PKSI	Streptomyces ossamyceticus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0002588	NRPS	NRPS	uncultured bacterium	Bacteria,environmental samples
BGC0002591	ladderane.terpene	Others	Streptomyces sp.	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0002592	T1PKS	PKSI	Aspergillus terreus NIH2624	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Circumdati
BGC0002594	T1PKS	PKSI	Fusarium graminearum PH-1	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium
BGC0002596	T1PKS	PKSI	Claviceps purpurea 20.1	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Clavicipitaceae,Claviceps
BGC0002597	NRPS-like.NRPS.T1PKS	PKS-NRP_Hybrids	Nodularia sp. LEGE 06071	Bacteria,Cyanobacteria,Nostocales,Aphanizomenonaceae,Nodularia
BGC0002598	NRPS.T1PKS	PKS-NRP_Hybrids	Aspergillus westerdijkiae	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0002602	NRPS-like	NRPS	Aspergillus flavus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Circumdati
BGC0002603	T1PKS.terpene	Others	Aspergillus versicolor	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Nidulantes
BGC0002604	T1PKS.terpene	Others	Aspergillus felis	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0002605	NRPS.T1PKS	PKS-NRP_Hybrids	Aspergillus carbonarius	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0002606	NRPS.T1PKS	PKS-NRP_Hybrids	Aspergillus niger	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Circumdati
BGC0002607	NRPS.T1PKS	PKS-NRP_Hybrids	Aspergillus westerdijkiae	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0002608		Others	Aspergillus steynii	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Circumdati
BGC0002609		Others	Aspergillus welwitschiae	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0002610		Others	Aspergillus stellatus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0002611	NRPS.betalactone	Others	Aspergillus mulundensis	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0002612	T1PKS	PKSI	Aspergillus stellatus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0002613	NRPS.T1PKS	PKS-NRP_Hybrids	Vibrio neptunius	Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
BGC0002614	T1PKS.terpene	Others	Penicillium shearii	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Penicillium
BGC0002615	T1PKS	PKSI	Penicillium terrestre	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Penicillium
BGC0002616	T1PKS	PKSI	Penicillium roqueforti	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Penicillium
BGC0002617	NRPS	NRPS	Penicillium sp. YT-2016	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Penicillium
BGC0002618	NRPS.terpene.indole	Others	Penicillium crustosum	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Penicillium
BGC0002619	T1PKS	PKSI	Penicillium brevicompactum	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Penicillium
BGC0002620	siderophore	Others	Fulvivirga marina	Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Fulvivirgaceae,Fulvivirga
BGC0002621		Others	Streptomyces angustmyceticus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0002622		Others	Oryza sativa Japonica Group	Eukaryota,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophyta,Magnoliopsida,Liliopsida,Poales,Poaceae,BOP clade,Oryzoideae,Oryzeae,Oryzinae,Oryza,Oryza sativa
BGC0002623	NRPS.T1PKS	PKS-NRP_Hybrids	Microcystis aeruginosa LEGE 91341	Bacteria,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Microcystaceae,Microcystis
BGC0002624	NRPS.T1PKS	PKS-NRP_Hybrids	Fischerella sp. PCC 9431	Bacteria,Cyanobacteria,Nostocales,Hapalosiphonaceae,Fischerella
BGC0002625	NRPS.T1PKS	PKS-NRP_Hybrids	Desmonostoc muscorum LEGE 12446	Bacteria,Cyanobacteria,Nostocales,Nostocaceae,Desmonostoc
BGC0002626	microviridin	RiPPs	Nostoc sp. TH1S01	Bacteria,Cyanobacteria,Nostocales,Nostocaceae,Nostoc
BGC0002627	lanthipeptide-class-ii.proteusin	RiPPs	Kamptonema sp. PCC 6506	Bacteria,Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Microcoleaceae,Kamptonema
BGC0002629	cyanobactin	RiPPs	Limnothrix sp. CACIAM 69d	Bacteria,Cyanobacteria,Pseudanabaenales,Pseudanabaenaceae,Limnothrix,unclassified Limnothrix
BGC0002632	NRPS	NRPS	Nostoc sp. UHCC 0870	Bacteria,Cyanobacteria,Nostocales,Nostocaceae,Nostoc
BGC0002633	siderophore	Others	Leptolyngbya sp. PCC 7376	Bacteria,Cyanobacteria,Pseudanabaenales,Leptolyngbyaceae,Leptolyngbya
BGC0002634	T1PKS	PKSI	Streptomyces parvus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0002635	lanthipeptide-class-i	RiPPs	Actinokineospora diospyrosa	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinokineospora
BGC0002636	phenazine.T1PKS.PKS-like	Others	Streptomyces sp.	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0002637	NRPS	NRPS	Streptomyces sp. WAC 06783	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0002638	NRPS	NRPS	Streptomyces sp. WAC 00631	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0002639	NRPS	NRPS	Lactobacillus iners LEAF 2052A-d	Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
BGC0002641	NRPS	NRPS	Bacillus velezensis FZB42	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus amyloliquefaciens group
BGC0002642	NRPS-like.T1PKS.butyrolactone	Others	Streptomyces cattleya NRRL 8057 = DSM 46488	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0002643		Others	Aetokthonos hydrillicola Thurmond2011	Bacteria,Cyanobacteria,Nostocales,Hapalosiphonaceae,Aetokthonos
BGC0002644		Others	Chondria armata	Eukaryota,Rhodophyta,Florideophyceae,Rhodymeniophycidae,Ceramiales,Rhodomelaceae,Chondrieae,Chondria
BGC0002645		Others	Pseudomonas aeruginosa PAO1	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
BGC0002646	T1PKS.indole	Others	Aspergillus hancockii	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0002648	hglE-KS.PUFA	Others	Shewanella sp. N2AIL	Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella
BGC0002649	NRPS.T1PKS	PKS-NRP_Hybrids	Amycolatopsis sp. EV170708-02-1	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,unclassified Amycolatopsis
BGC0002651	terpene	Terpene	Rosellinia necatrix	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Xylariomycetidae,Xylariales,Xylariaceae,Rosellinia
BGC0002652	NRPS-like	NRPS	Streptomyces sp. SHP22-7	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0002653	NRPS	NRPS	Paenibacillus xylanexedens	Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus
BGC0002654	NRPS-like.NRPS	NRPS	uncultured bacterium	Bacteria,environmental samples
BGC0002656		Others	Streptacidiphilus oryzae TH49	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptacidiphilus
BGC0002657		Others	Streptomyces spectabilis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0002660	NRPS	NRPS	Chitinophaga eiseniae	Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga
BGC0002661	NRPS	NRPS	Streptomyces tasikensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0002662		Others	Lentzea flaviverrucosa	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Lentzea
BGC0002663	lanthipeptide-class-ii	RiPPs	Bacillus amyloliquefaciens UMAF6639	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus amyloliquefaciens group
BGC0002665	RiPP-like	RiPPs	Pseudomonas syringae pv. maculicola str. ES4326	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
BGC0002666	NRPS-like.NRPS.terpene	Others	Streptomyces sp. MA37	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0002667	ranthipeptide.cyclic-lactone-autoinducer	RiPPs	Clostridium estertheticum	Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium
BGC0002668	lanthipeptide-class-i	RiPPs	Clostridium estertheticum	Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium
BGC0002669	thioamitides.lanthipeptide-class-v	RiPPs	Streptomyces sp. NRRL S-87	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0002670		Others	Fusarium oxysporum f. sp. lycopersici 4287	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium oxysporum species complex
BGC0002671	NRPS-like.T1PKS.T3PKS	PKS-NRP_Hybrids	Verrucosispora sp.	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Verrucosispora,unclassified Verrucosispora
BGC0002672	T2PKS	PKSother	Saccharothrix sp.	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharothrix
BGC0002673	T1PKS	PKSI	Streptomyces griseus subsp. griseus NBRC 13350	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0002675	prodigiosin	PKSother	Pseudoalteromonas rubra	Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas
BGC0002676	NRPS.ladderane.T1PKS.arylpolyene	Others	Streptomyces anulatus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0002677	NRPS-like.T1PKS	PKS-NRP_Hybrids	Nostoc punctiforme PCC 73102	Bacteria,Cyanobacteria,Nostocales,Nostocaceae,Nostoc
BGC0002678	NRPS	NRPS	Burkholderia cepacia ATCC 25416	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cepacia complex
BGC0002679	NRPS-like	NRPS	Chromobacterium violaceum ATCC 12472	Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Chromobacterium
BGC0002680	NRPS	NRPS	Chromobacterium violaceum ATCC 12472	Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Chromobacterium
BGC0002681	siderophore	Others	Francisella tularensis subsp. tularensis SCHU S4	Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella
BGC0002682	siderophore	Others	Vibrio mimicus	Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
BGC0002683	siderophore	Others	Nostoc sp. PCC 7120 = FACHB-418	Bacteria,Cyanobacteria,Nostocales,Nostocaceae,Nostoc
BGC0002685	NRPS	NRPS	Rothia mucilaginosa ATCC 25296	Bacteria,Actinobacteria,Micrococcales,Micrococcaceae,Rothia
BGC0002686	NRPS	NRPS	Actinomadura sp. WMMA1423	Bacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,unclassified Actinomadura
BGC0002687	NRPS.T1PKS	PKS-NRP_Hybrids	Massilia sp. NR 4-1	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia group,Massilia
BGC0002688	NRPS	NRPS	Planobispora rosea	Bacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Planobispora
BGC0002689	NRPS	NRPS	Stenotrophomonas maltophilia K279a	Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas maltophilia group
BGC0002690	siderophore	Others	Verrucosispora sp. FIM060022	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Verrucosispora,unclassified Verrucosispora
BGC0002691	NRPS	NRPS	Vibrio neptunius	Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
BGC0002692	siderophore	Others	Kribbella speibonae	Bacteria,Actinobacteria,Propionibacteriales,Kribbellaceae,Kribbella
BGC0002693	NRPS	NRPS	Pseudomonas sp. SXM-1	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
BGC0002694	siderophore	Others	Phaeobacter inhibens 2.10	Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Phaeobacter
BGC0002695	NRPS	NRPS	Bacillus sp. WMMC1349	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
BGC0002696	NRPS	NRPS	Rhodococcus erythropolis	Bacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus erythropolis group
BGC0002697	NRPS.T1PKS	PKS-NRP_Hybrids	Streptomyces cattleya NRRL 8057 = DSM 46488	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0002698	lanthipeptide-class-ii	RiPPs	Pseudophaeobacter arcticus DSM 23566	Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudophaeobacter
BGC0002699	lanthipeptide-class-ii	RiPPs	Nostoc punctiforme PCC 73102	Bacteria,Cyanobacteria,Nostocales,Nostocaceae,Nostoc
BGC0002700	lanthipeptide-class-iii	RiPPs	Bacillus nakamurai	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
BGC0002701	lanthipeptide-class-iii	RiPPs	Paenibacillus thiaminolyticus	Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus
BGC0002702	NRPS	NRPS	Streptomyces sp. WAC 06738	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0002703	lanthipeptide-class-ii	RiPPs	Halorussus salinus	Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Halobacteriaceae,Halorussus
BGC0002704	lanthipeptide-class-ii	RiPPs	Halorussus salinus	Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Halobacteriaceae,Halorussus
BGC0002706	NRPS	NRPS	Myxococcus xanthus	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacterineae,Myxococcaceae,Myxococcus
BGC0002707	terpene	Terpene	Coniophora puteana RWD-64-598 SS2	Eukaryota,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Boletales,Coniophorineae,Coniophoraceae,Coniophora
BGC0002709	T1PKS	PKSI	Fusarium graminearum PH-1	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium
BGC0002710	NRPS	NRPS	Metarhizium robertsii ARSEF 23	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Clavicipitaceae,Metarhizium
BGC0002711		Others	Nostoc punctiforme PCC 73102	Bacteria,Cyanobacteria,Nostocales,Nostocaceae,Nostoc
BGC0002712	T2PKS	PKSother	Streptomyces yanglinensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0002713	NRPS	NRPS	Photorhabdus laumondii subsp. laumondii	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Photorhabdus
BGC0002715	NRPS.T1PKS	PKS-NRP_Hybrids	Photorhabdus laumondii subsp. laumondii	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Photorhabdus
BGC0002716	NRPS	NRPS	Photorhabdus laumondii subsp. laumondii	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Photorhabdus
BGC0002718	NRPS	NRPS	Actinomadura sp. RB99	Bacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,unclassified Actinomadura
BGC0002719	NRPS	NRPS	Pseudomonas fluorescens	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
BGC0002721		Others	Hordeum vulgare subsp. vulgare	Eukaryota,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophyta,Magnoliopsida,Liliopsida,Poales,Poaceae,BOP clade,Pooideae,Triticodae,Triticeae,Hordeinae,Hordeum
BGC0002722		Others	Solanum tuberosum	Eukaryota,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophyta,Magnoliopsida,eudicotyledons,Gunneridae,Pentapetalae,asterids,lamiids,Solanales,Solanaceae,Solanoideae,Solaneae,Solanum
BGC0002723	terpene	Terpene	Jatropha curcas	Eukaryota,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophyta,Magnoliopsida,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Malpighiales,Euphorbiaceae,Crotonoideae,Jatropheae,Jatropha
BGC0002724	terpene	Terpene	Jatropha curcas	Eukaryota,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophyta,Magnoliopsida,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Malpighiales,Euphorbiaceae,Crotonoideae,Jatropheae,Jatropha
BGC0002726	T1PKS	PKSI	Bipolaris sorokiniana	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Pleosporaceae,Bipolaris
BGC0002729	T1PKS	PKSI	Neurospora crassa OR74A	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Sordariomycetidae,Sordariales,Sordariaceae,Neurospora
BGC0002731	T1PKS	PKSI	Aspergillus nanangensis	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0002732	T2PKS	PKSother	Streptosporangium roseum DSM 43021	Bacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Streptosporangium
BGC0002733		Others	Burkholderia gladioli	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
BGC0002734	NRPS-like.T1PKS	PKS-NRP_Hybrids	Aspergillus terreus NIH2624	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Circumdati
BGC0002735	NRPS.T1PKS	PKS-NRP_Hybrids	Streptomyces incarnatus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0002736		Others	Aspergillus terreus NIH2624	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Circumdati
BGC0002745	T1PKS	PKSI	Penicillium polonicum	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Penicillium
BGC0002746		Others	Dendrothele bispora CBS 962.96	Eukaryota,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Agaricales incertae sedis,Dendrothele
BGC0002747	fungal-RiPP	RiPPs	Lentinula edodes	Eukaryota,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Omphalotaceae,Lentinula
BGC0002749	NRPS-like.T1PKS	PKS-NRP_Hybrids	Aspergillus candidus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
FJ_XM_contig_10044379.region001	terpene	Terpene	Genus species Unclassified.	
